track_name,track_artist,track_popularity,track_album_name,track_album_release_date,playlist_genre,danceability,energy,key,loudness,speechiness,liveness,valence,tempo,duration_ms,popularity_category,tempo_category,loudness_category,release_month
I Don't Care (with Justin Bieber) - Loud Luxury Remix,Ed Sheeran,66,I Don't Care (with Justin Bieber) [Loud Luxury Remix],2019-06-14,pop,0.748,0.916,6,-2.634,0.0583,0.0653,0.518,122.036,194754,High Popularity,Fast,Loud,June
Memories - Dillon Francis Remix,Maroon 5,67,Memories (Dillon Francis Remix),2019-12-13,pop,0.726,0.815,11,-4.969,0.0373,0.357,0.693,99.972,162600,High Popularity,Moderate,Loud,December
All the Time - Don Diablo Remix,Zara Larsson,70,All the Time (Don Diablo Remix),2019-07-05,pop,0.675,0.931,1,-3.432,0.0742,0.11,0.613,124.008,176616,High Popularity,Fast,Loud,July
Call You Mine - Keanu Silva Remix,The Chainsmokers,60,Call You Mine - The Remixes,2019-07-19,pop,0.718,0.93,7,-3.778,0.102,0.204,0.277,121.956,169093,Medium Popularity,Fast,Loud,July
Someone You Loved - Future Humans Remix,Lewis Capaldi,69,Someone You Loved (Future Humans Remix),2019-03-05,pop,0.65,0.833,1,-4.672,0.0359,0.0833,0.725,123.976,189052,High Popularity,Fast,Loud,March
Beautiful People (feat. Khalid) - Jack Wins Remix,Ed Sheeran,67,Beautiful People (feat. Khalid) [Jack Wins Remix],2019-07-11,pop,0.675,0.919,8,-5.385,0.127,0.143,0.585,124.982,163049,High Popularity,Fast,Moderate,July
Never Really Over - R3HAB Remix,Katy Perry,62,Never Really Over (R3HAB Remix),2019-07-26,pop,0.449,0.856,5,-4.788,0.0623,0.176,0.152,112.648,187675,High Popularity,Moderate,Loud,July
Post Malone (feat. RANI) - GATTÜSO Remix,Sam Feldt,69,Post Malone (feat. RANI) [GATTÜSO Remix],2019-08-29,pop,0.542,0.903,4,-2.419,0.0434,0.111,0.367,127.936,207619,High Popularity,Fast,Loud,August
Tough Love - Tiësto Remix / Radio Edit,Avicii,68,Tough Love (Tiësto Remix),2019-06-14,pop,0.594,0.935,8,-3.562,0.0565,0.637,0.366,127.015,193187,High Popularity,Fast,Loud,June
If I Can't Have You - Gryffin Remix,Shawn Mendes,67,If I Can't Have You (Gryffin Remix),2019-06-20,pop,0.642,0.818,2,-4.552,0.032,0.0919,0.59,124.957,253040,High Popularity,Fast,Loud,June
Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,Ed Sheeran,58,Cross Me (feat. Chance the Rapper & PnB Rock) [M-22 Remix],2019-06-21,pop,0.679,0.923,6,-6.5,0.181,0.124,0.752,121.984,207894,Medium Popularity,Fast,Moderate,June
