track_name,track_artist,track_popularity,track_album_name,track_album_release_date,playlist_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity_category,tempo_category,loudness_category,release_month
Memories - Dillon Francis Remix,Maroon 5,67.0,Memories (Dillon Francis Remix),2019-12-13,pop,0.726,0.815,11.0,-4.969,1.0,0.10698268610046399,0.0724,0.00421,0.357,0.693,99.972,162600.0,Medium Popularity,Slow,Loud,December
All the Time - Don Diablo Remix,Zara Larsson,70.0,All the Time (Don Diablo Remix),2019-07-05,pop,0.675,0.931,1.0,-3.432,0.0,0.0742,0.0794,2.33e-05,0.19030977962953666,0.613,124.008,176616.0,Medium Popularity,Fast,Loud,July
Call You Mine - Keanu Silva Remix,The Chainsmokers,60.0,Call You Mine - The Remixes,2019-07-19,pop,0.718,0.93,7.0,-3.778,1.0,0.102,0.0287,9.43e-06,0.204,0.5098375511751326,121.956,169093.0,Medium Popularity,Fast,Loud,July
Never Really Over - R3HAB Remix,Katy Perry,62.0,Never Really Over (R3HAB Remix),2019-07-26,pop,0.449,0.856,5.387222222222222,-4.788,0.0,0.0623,0.187,0.0,0.176,0.152,112.648,187675.0,Medium Popularity,Moderate,Loud,July
Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,Ed Sheeran,58.0,Cross Me (feat. Chance the Rapper & PnB Rock) [M-22 Remix],2019-06-21,pop,0.679,0.923,5.387222222222222,-6.5,1.0,0.181,0.146,4.92e-06,0.124,0.752,121.984,207894.0,Medium Popularity,Fast,Moderate,June
Hate Me - R3HAB Remix,Ellie Goulding,67.0,Hate Me (R3HAB Remix),2019-08-16,pop,0.437,0.774,8.0,-4.918,1.0,0.10698268610046399,0.148,0.0,0.133,0.329,123.125,203733.0,Medium Popularity,Fast,Loud,August
Body On My,Loud Luxury,67.0,Body On My,2019-03-29,pop,0.744,0.6989134898547792,1.0,-4.675,1.0,0.0463,0.0399,0.0,0.374,0.687,121.985,192507.0,Medium Popularity,Fast,Loud,March
SOS - Laidback Luke Tribute Remix / Radio Edit,Avicii,68.0,SOS (Laidback Luke Tribute Remix),2019-05-17,pop,0.572,0.915,5.0,-4.451,0.0,0.0625,0.0111,0.0,0.339,0.678,121.04495242659672,164516.0,Medium Popularity,Fast,Loud,May
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,Martin Garrix,63.0,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) [Remixes],2019-07-12,pop,0.69,0.78,5.0,-4.446,0.0,0.0594,0.00733,0.00183,0.0729,0.238,126.07,225829.00778894473,Medium Popularity,Fast,Loud,July
All My Friends - Eden Prince Remix,AJ Mitchell,60.0,All My Friends (Eden Prince Remix),2019-05-03,pop,0.694,0.901,1.0,-4.322,0.0,0.0948,0.0702,0.0,0.19030977962953666,0.368,118.051,173548.0,Medium Popularity,Moderate,Loud,May
